M7m3n6,7,3,6,popmapsa,P-1.fq.gz,4
M7m3n7,7,3,7,popmapsa,P-1.fq.gz,4
M7m3n8,7,3,8,popmapsa,P-1.fq.gz,4
M8m3n7,8,3,7,popmapsa,P-1.fq.gz,4
M8m3n8,8,3,8,popmapsa,P-1.fq.gz,4
M8m3n9,8,3,9,popmapsa,P-1.fq.gz,4
M1m3n0,1,3,0,popmapsa,V-19.fq.gz,5
M1m3n1,1,3,1,popmapsa,V-19.fq.gz,5
M1m3n2,1,3,2,popmapsa,V-19.fq.gz,5
M2m3n1,2,3,1,popmapsa,V-19.fq.gz,5
M2m3n2,2,3,2,popmapsa,V-19.fq.gz,5
M2m3n3,2,3,3,popmapsa,V-19.fq.gz,5
M3m3n2,3,3,2,popmapsa,V-19.fq.gz,5
M3m3n3,3,3,3,popmapsa,V-19.fq.gz,5
M3m3n4,3,3,4,popmapsa,V-19.fq.gz,5
M4m3n3,4,3,3,popmapsa,V-19.fq.gz,5
M4m3n4,4,3,4,popmapsa,V-19.fq.gz,5
M4m3n5,4,3,5,popmapsa,V-19.fq.gz,5
M5m3n4,5,3,4,popmapsa,V-19.fq.gz,5
M5m3n5,5,3,5,popmapsa,V-19.fq.gz,5
M5m3n6,5,3,6,popmapsa,V-19.fq.gz,5
M6m3n5,6,3,5,popmapsa,V-19.fq.gz,5
M6m3n6,6,3,6,popmapsa,V-19.fq.gz,5
M6m3n7,6,3,7,popmapsa,V-19.fq.gz,5
M7m3n6,7,3,6,popmapsa,V-19.fq.gz,5
M7m3n7,7,3,7,popmapsa,V-19.fq.gz,5
M7m3n8,7,3,8,popmapsa,V-19.fq.gz,5
M8m3n7,8,3,7,popmapsa,V-19.fq.gz,5
M8m3n8,8,3,8,popmapsa,V-19.fq.gz,5
M8m3n9,8,3,9,popmapsa,V-19.fq.gz,5
M1m3n0,1,3,0,popmapsa,W-11.fq.gz,6
M1m3n1,1,3,1,popmapsa,W-11.fq.gz,6
M1m3n2,1,3,2,popmapsa,W-11.fq.gz,6
M2m3n1,2,3,1,popmapsa,W-11.fq.gz,6
M2m3n2,2,3,2,popmapsa,W-11.fq.gz,6
M2m3n3,2,3,3,popmapsa,W-11.fq.gz,6
M3m3n2,3,3,2,popmapsa,W-11.fq.gz,6
M3m3n3,3,3,3,popmapsa,W-11.fq.gz,6
M3m3n4,3,3,4,popmapsa,W-11.fq.gz,6
M4m3n3,4,3,3,popmapsa,W-11.fq.gz,6
M4m3n4,4,3,4,popmapsa,W-11.fq.gz,6
M4m3n5,4,3,5,popmapsa,W-11.fq.gz,6
M5m3n4,5,3,4,popmapsa,W-11.fq.gz,6
M5m3n5,5,3,5,popmapsa,W-11.fq.gz,6
M5m3n6,5,3,6,popmapsa,W-11.fq.gz,6
M6m3n5,6,3,5,popmapsa,W-11.fq.gz,6
M6m3n6,6,3,6,popmapsa,W-11.fq.gz,6
M6m3n7,6,3,7,popmapsa,W-11.fq.gz,6
